algorithm,horizon,features,n_features,risk_strategy,total_return,cagr,spx_cagr,portfolio_60_40_cagr,risk_parity_cagr,excess_cagr_spx,excess_cagr_6040,excess_cagr_rp,volatility,sharpe,max_drawdown,calmar_ratio,var_5pct,information_ratio_spx,information_ratio_6040,r2,correlation,rmse,n_trades,years,successful_splits,feature_set
Linear,5,"[""SolitonAsymmetryY_MA10"", ""SolitonHeight"", ""SolitonProbeMean"", ""SolitonAsymmetryY_MA5"", ""SolitonAsymmetryX"", ""SolitonProbeStd"", ""SolitonConcentration"", ""SolitonProbeMax""]",8,KellyCriterion,8.162259143856781,0.13309378986657827,0.08225789705315179,0.06450966816619164,0.048188946417961454,0.050835892813426486,0.06858412170038664,0.08490484344861682,0.17520372926049094,0.05353608610235807,0.5761928395028826,0.23098827465715568,0.007947293680512755,0.34636196649756984,0.5264710075599343,0.0038572222851948057,0.06663767859479663,0.039744691460480396,4464,17.727583846680357,3,SolitonCore
Ridge,5,"[""SolitonAsymmetryY_MA10"", ""SolitonHeight"", ""SolitonProbeMean"", ""SolitonAsymmetryY_MA5"", ""SolitonAsymmetryX"", ""SolitonProbeStd"", ""SolitonConcentration"", ""SolitonProbeMax""]",8,KellyCriterion,1.7802097999946813,0.05937590269083004,0.08225789705315179,0.06450966816619164,0.048188946417961454,-0.022881994362321745,-0.005133765475361596,0.011186956272868587,0.17702032487352928,0.029165038645179987,0.6184790865090425,0.09600308884488358,0.009038679474655845,0.0791907714521832,0.19071520954057908,0.0034512135452161585,0.05990697475434836,0.03975279022330081,4464,17.727583846680357,3,SolitonCore
Ridge,5,"[""SolitonAsymmetryY_MA10"", ""MACDsig"", ""Returns"", ""RSI14"", ""SolitonAsymmetryX"", ""SolitonAsymmetryY_MA5"", ""SolitonAsymmetryMagnitude"", ""SolitonAsymmetryY""]",8,KellyCriterion,1.0430673012479612,0.04128097755569948,0.08020347546196605,0.06331384434371667,0.04777944306502957,-0.03892249790626656,-0.02203286678801719,-0.006498465509330087,0.17788845772375356,0.02378842217338359,0.6327251846151469,0.06524313961172339,0.009137067122478613,0.0239102862030971,0.11566912651283177,-0.0016485905850081028,0.01955265991521967,0.039927364766614216,4446,17.661875427789184,3,Hybrid
Linear,5,"[""Returns"", ""RSI14"", ""SolitonEnergy"", ""SolitonAsymmetryY"", ""Volatility10""]",5,KellyCriterion,1.0490973493792117,0.04138273667415149,0.08107152022465414,0.0638141251474944,0.04791021006386598,-0.03968878355050265,-0.022431388473342917,-0.006527473389714489,0.1789464164692805,0.024100981986118458,0.6753342366875807,0.06127741557591983,0.009118729216368953,0.026215335600813842,0.12092543880614268,-0.003194564041191228,0.024734939675897624,0.03991986896405677,4455,17.691991786447637,3,BestFeatures
Ridge,5,"[""SolitonAsymmetryY_MA10"", ""SolitonAsymmetryY_MA5"", ""SolitonAsymmetryX"", ""SolitonConcentration"", ""SolitonAsymmetryMagnitude"", ""SolitonAsymmetryY"", ""SolitonConcentration_MA5"", ""SolitonEnergyConcentration""]",8,KellyCriterion,1.038846825464786,0.04100342476719443,0.08225789705315179,0.06450966816619164,0.048188946417961454,-0.041254472285957355,-0.023506243398997206,-0.007185521650767024,0.17775101914580205,0.02214837787386105,0.6215865506553925,0.06596575283677063,0.009117076320786548,-0.004406392136713999,0.08594084942362001,-0.00028585420542937,0.021802917395132283,0.03982725715285928,4464,17.727583846680357,3,PostCollision
Linear,5,"[""MACDsig"", ""Returns"", ""StochK14"", ""RSI14"", ""CCI20"", ""Volatility5""]",6,KellyCriterion,0.5079338008672682,0.023528285632012924,0.08020347546196605,0.06331384434371667,0.04777944306502957,-0.05667518982995312,-0.03978555871170375,-0.024251157433016646,0.18974195502885693,0.017149118918262745,0.646743309518386,0.03637963514386235,0.007323526802191764,-0.04052335715923994,0.029789328244844898,-0.00537899175348433,0.025830752031402154,0.04000164564196533,4446,17.661875427789184,3,Traditional
RandomForest,5,"[""MACDsig"", ""Returns"", ""StochK14"", ""RSI14"", ""CCI20"", ""Volatility5""]",6,KellyCriterion,0.5059930598567883,0.02345365585774406,0.08020347546196605,0.06331384434371667,0.04777944306502957,-0.056749819604221985,-0.039860188485972614,-0.02432578720728551,0.18970139898988214,0.015444501991234049,0.8062709479106739,0.029089049926108057,0.009137067122478613,-0.06663927595209451,0.0039573621565294256,-0.001709959355617574,-0.010809701984488648,0.03992858787808394,4446,17.661875427789184,3,Traditional
RandomForest,5,"[""SolitonAsymmetryY_MA10"", ""MACDsig"", ""Returns"", ""RSI14"", ""SolitonAsymmetryX"", ""SolitonAsymmetryY_MA5"", ""SolitonAsymmetryMagnitude"", ""SolitonAsymmetryY""]",8,KellyCriterion,0.46672552205810236,0.0219238310222023,0.08020347546196605,0.06331384434371667,0.04777944306502957,-0.058279644439763745,-0.041390013321514374,-0.02585561204282727,0.18993794503047062,0.014487640330853481,0.8072098605263675,0.027160013887722028,0.009137067122478613,-0.07915987852020731,-0.01146667966881385,-0.0016026901923960057,-0.017082940237114565,0.03992644992345862,4446,17.661875427789184,3,Hybrid
RandomForest,5,"[""SolitonAsymmetryY_MA10"", ""SolitonHeight"", ""SolitonProbeMean"", ""SolitonAsymmetryY_MA5"", ""SolitonAsymmetryX"", ""SolitonProbeStd"", ""SolitonConcentration"", ""SolitonProbeMax""]",8,KellyCriterion,0.47157838935630336,0.02203210529529409,0.08225789705315179,0.06450966816619164,0.048188946417961454,-0.060225791757857694,-0.042477562870897545,-0.026156841122667362,0.18343675389343933,0.014752841076336832,0.7841987353608952,0.028095053335115007,0.009137067122478613,-0.09186692161480582,-0.022299786753615176,-0.001688759451765609,-0.013289631900907558,0.0398551763174974,4464,17.727583846680357,3,SolitonCore
Ridge,5,"[""MACDsig"", ""Returns"", ""StochK14"", ""RSI14"", ""CCI20"", ""Volatility5""]",6,KellyCriterion,0.295714641322604,0.014775988148407748,0.08020347546196605,0.06331384434371667,0.04777944306502957,-0.0654274873135583,-0.048537856195308926,-0.03300345491662182,0.1845260262666537,0.014828715378145344,0.7000486315137875,0.021107088112515986,0.009117076320786548,-0.07628421732660973,-0.012366517271874305,-0.0029367304758574075,0.0027780815406045277,0.03995303020794135,4446,17.661875427789184,3,Traditional
